Material;Texto breve de material;Estoque disponível
18115054;TUBO VESUVIUS 9C12173;15
18120044;PÓ FLUXANTE GRANUL ACCUTHERM ST-SP......;7,150
18142426;GRAFITE BAG 1000 KG;25.000
18142426;GRAFITE BAG 1000 KG;14.000
18142427;GRAFITE 1 A 5,5 MM BAG 500KG;91.493
18142427;GRAFITE 1 A 5,5 MM BAG 500KG;50.000
18142427;GRAFITE 1 A 5,5 MM BAG 500KG;68.000
18142753;CÁLCIO SILÍCIO TIPO FIO 13,00 MM;15,678
18142753;CÁLCIO SILÍCIO TIPO FIO 13,00 MM;22,107
18142783;FERRO CÁLCIO EM FIO 5200 M;2,920
18143155;FERRO MANG A/C 2,4 A 10MM (BAG);47,942
18143155;FERRO MANG A/C 2,4 A 10MM (BAG);181,890
18143155;FERRO MANG A/C 2,4 A 10MM (BAG);95,610
18143165;PÓ FLUXANTE AFAX TCP81;20
18143243;"FERRO CROMO 10 A 50MM RECUPERADO ""BROAS""";9
18143263;AREIA REF CROMITA FERBASA;4.000
18143333;ANTRACITO MINAS GUSA CAMINHÃO LONADO;1
19105493;MASSA REFRATÁRIA TECNOFIRE COATFIRE PE;10.000
19105618;SENSOR IMERSÃO ECIL MET TEC 900MM;144
19127393;SUCATA DE AÇO;9
19136283;TIJ REF CUNHA CASTEMP BLOCK RS16.19 P1 H;40
19139012;SENSOR TEMP HERAEUS PTA55018960;120
19139014;SENSOR TEMP HERAEUS RAI 789456123;160
19150747;TIJ REF RETANGULAR DB44-0020-0 MC-QTA15H;2
19152472;SENSOR IMERSÃO IMERSÃO 1498 MM;120
19154359;CONE REFRÁTARIO CÔNICO 270 X 270X 192 CM;11
19162239;CONCRETO REF TOGNI CASTOGNI-85 BAG;0,375
19170889;BARRA AÇO SAE 1010 RED 9,53 MM;2.000
C18063574;AREIA REFRAT ESCOPAN 4 YZC R15-B CBX;0
C18063574;AREIA REFRAT ESCOPAN 4 YZC R15-B CBX;0
C18063574;AREIA REFRAT ESCOPAN 4 YZC R15-B CBX;30
C18127212;PÓ FLUXANTE SF-580HC MTC;6,300
C18139407;PÓ FLUXANTE MTC SF554 MTC;5,400
C18139407;PÓ FLUXANTE MTC SF554 MTC;14,700
C18139407;PÓ FLUXANTE MTC SF554 MTC;14,400
C18139407;PÓ FLUXANTE MTC SF554 MTC;4,200
C18139407;PÓ FLUXANTE MTC SF554 MTC;2,700
C18139410;PÓ FLUXANTE  PARTIDA  EXP 306-R1 MTC;2
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;2,700
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;2,400
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;5,400
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;12,600
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;18
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;15,300
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;7,200
C18139411;PÓ FLUXANTE MTC SF 633-R2 MTC;2,100
C18139412;PÓ FLUXANTE MTC SF 909 MTC;5,400
C18139412;PÓ FLUXANTE MTC SF 909 MTC;9
C19025933;PLACA REF CEGA KA63731 MLC01 VSV;10
C19123067;AREIA REF VEDAÇÃO ESCOPAN 4;30
C19123067;AREIA REF VEDAÇÃO ESCOPAN 4;12.000
C19135912;FLUXANTE AFAX SF 554 SACARIA;1
C19135912;FLUXANTE AFAX SF 554 SACARIA;3
C19135917;FLUXANTE AFAX SF 580 HC R2 SACARIA;3
C19135917;FLUXANTE AFAX SF 580 HC R2 SACARIA;4
C19135920;FLUXANTE AFAX SF 633 SACARIA;1
C19135920;FLUXANTE AFAX SF 633 SACARIA;3
C19135923;FLUXANTE AFAX SF 909 SACARIA;2
C19135923;FLUXANTE AFAX SF 909 SACARIA;2
C19141951;TIJ REF ESPECIAL ATOM BX07313;14
C19146653;VÁLVULA REF VESÚVIUS KG10754;29
C19146653;VÁLVULA REF VESÚVIUS KG10754;40
